letter,unit-0,unit-1,unit-2,unit-3,unit-4,unit-5,unit-6,unit-7,unit-8,unit-9,unit-10,unit-11,unit-12,unit-13,unit-14,unit-15,unit-16,unit-17,unit-18,unit-19,unit-20,unit-21,unit-22,unit-23,unit-24,unit-25,unit-26,unit-27
Play Music,0.503330545,0.256193347,0.228518209,0.215572536,0.228518209,0.414835321,0.315218675,0.443037559,0.418972286,0.302340794,0.319070778,1.612914987,0.77187668,0.04377615,0.894925194,0.210171113,0.77187668,0.074868735,0.759771617,0.232054887,0.976168872,0.04377615,0.657553614,0.242651793,1.204162442,0.061908824,0.713766057,1.418999008
Play Music,0.503115295,0.264029427,0.241439991,0.235773074,0.232694294,0.416025147,0.29823197,0.441941738,0.422119765,0.289645008,0.324574426,1.634844441,0.783122755,0.047154615,0.90581057,0.210881848,0.783122755,0.077521709,0.767308295,0.240692111,0.988667761,0.045202536,0.666731768,0.233081366,1.223885875,0.052003143,0.718279528,1.430963399
Play Music,0.506172982,0.254575677,0.224499971,0.217796964,0.231008565,0.409927213,0.297534089,0.423585699,0.404026576,0.285741814,0.311552447,1.618251226,0.780468665,0.046839008,0.896016814,0.204601672,0.780468665,0.065339089,0.754863665,0.231649366,0.98205059,0.039263906,0.654705425,0.239205127,1.208773148,0.058643627,0.706162783,1.421385936
Play Music,0.509997563,0.248392169,0.233270695,0.234813847,0.232754037,0.409438396,0.313810606,0.426715734,0.415856774,0.289880283,0.318947586,1.625690635,0.796216902,0.046550807,0.878661475,0.182612646,0.796216902,0.07152954,0.77039672,0.235581633,0.969094445,0.041780628,0.659880386,0.232883309,1.2005336,0.055947108,0.699338846,1.409075331
Play Music,0.499262081,0.248392169,0.233270695,0.21944261,0.232883309,0.409438396,0.29081321,0.426715734,0.407079351,0.297362956,0.313138531,1.615289912,0.764041691,0.047192918,0.902787006,0.196275438,0.764041691,0.07152954,0.77039672,0.23339968,0.955583754,0.049068859,0.667634082,0.225530001,1.183185432,0.060595571,0.711921343,1.381660935
Play Music,0.493735736,0.243198282,0.219688738,0.206265224,0.211707737,0.410288825,0.302972262,0.431327778,0.411411163,0.292964957,0.3164707,1.605114022,0.761347197,0.032329384,0.898028719,0.190941492,0.761347197,0.078410273,0.76866067,0.228334162,0.948245747,0.056542452,0.666902305,0.235361467,1.171256324,0.044355549,0.70678065,1.381846201
Play Music,0.503819101,0.25277416,0.221632708,0.215500797,0.221069473,0.416885825,0.31283877,0.426421367,0.406437415,0.285326647,0.31283877,1.611732325,0.777480386,0.04737203,0.879648409,0.195319883,0.777480386,0.063654252,0.761603503,0.229915722,0.962745782,0.035309026,0.663255412,0.229508671,1.186640719,0.05296354,0.714080865,1.387154994
Play Music,0.502141677,0.263280032,0.231810459,0.22555355,0.231398596,0.410513657,0.292459555,0.422649678,0.402614666,0.290276991,0.321463268,1.610636347,0.758628165,0.055821656,0.899284294,0.194192306,0.758628165,0.06228301,0.766633257,0.242142005,0.947761147,0.031898089,0.654105294,0.232495277,1.184451467,0.053494721,0.711209364,1.38327507
Play Music,0.483233634,0.238784629,0.222741942,0.20744283,0.222883952,0.412744694,0.299558803,0.413663607,0.392709797,0.279787831,0.309839485,1.605998281,0.765714168,0.039775347,0.893308599,0.179474546,0.765714168,0.071152304,0.787391143,0.226405243,0.936470821,0.046385627,0.676929195,0.239181831,1.159804373,0.04283936,0.722336069,1.370859508
Play Music,0.481489947,0.241113623,0.217151046,0.203483645,0.20896514,0.413345613,0.293327383,0.40989316,0.396760345,0.282673662,0.307097954,1.593864601,0.737884728,0.040981436,0.903202178,0.189171356,0.737884728,0.075822046,0.790462167,0.236378814,0.917253464,0.053914645,0.675883152,0.225612731,1.150179098,0.051462683,0.717602825,1.3491834
Play Music,0.484967146,0.252030382,0.219997299,0.207167698,0.219546638,0.407019946,0.288551213,0.414494724,0.403435232,0.287978577,0.310485833,1.589998453,0.723560033,0.033503472,0.919650845,0.200692101,0.723560033,0.069900651,0.778592749,0.236626449,0.92122903,0.047381065,0.674635981,0.228101673,1.152057599,0.052030415,0.722281335,1.352034037
